,id,name,asins,brand,categories,keys,manufacturer,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,Sentiment
14488,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:13Z,2017-06-07T08:14:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=11,The best value for the money hands down. Works perfectly.,Amazing,,,GeekinAz,Positive
14489,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:13Z,2017-06-07T08:14:00.000Z,,True,,0.0,4.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=11,I purchased it for my daughter and she loves it and the games,Great tablet,,,Reggie,Neutral
14490,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:13Z,2017-06-07T08:14:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=11,I have bought several Kindle Fire's over the years. I think they are great for streaming movies & videos. You can downloaded movies on the device and use it while off wi-fi.,Kindle Fire,,,headphones,Positive
14491,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:13Z,2017-06-07T08:14:00.000Z,,True,,0.0,4.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=11,Decent.......................................................................,Decent,,,rm395829,Neutral
14492,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:13Z,2017-06-07T08:14:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=11,I actually bought this for a friend. I already have one. She loves to read and I thought this would be perfect for her to download books on. She absolutely loves it for that plus all the other features she can do on her tablet. Such a great buy!,Great Tablet,,,Annm870,Positive
14493,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:29Z,2017-06-07T08:14:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=12,Small amd neat. Everything you need on this little device.,Love it,,,Jason,Negative
14494,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:29Z,2017-06-07T08:14:00.000Z,,True,,0.0,4.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=12,It's nice and simple. Easy to carry around. If you have children its not bad when traveling,Good,,,Y0ly2442,Positive
14495,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:29Z,2017-06-07T08:14:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=12,"The Fire tablet is such a great value. If money is no consideration, there are better tablets out there, but for the money, this is a great choice, especially if you're a Prime member.",Great value!,,,mbjamaica,Positive
14496,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:29Z,2017-06-07T08:14:00.000Z,,True,,0.0,4.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=12,we bought this amazon tablet because my 3 year received one as a gift for her aunt. My 2 year was using an iPad but kept dropping it. This is great because it's small enough for him to hold and if you buy the case it's completely protected. The only issue we seem to have is that the power cord is really loose when you plug it in to charge so sometimes it does not get charged. That is the only reason I'm giving it 4 stars.,Great tablet for toddlers,,,Momof4,Neutral
14497,AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2017-05-18T00:00:00.000Z,2017-07-02T14:34:29Z,2017-06-07T08:14:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=12,I brought this tablet as a Christmas gift for my 9yr old son. It is the only present that he is still to this day playing with he loves his tablet.,Great tablet,,,summer284600,Neutral
